year,index_group,industry,firm_count,avg_eps
2009,CSI 300,交通运输,27.0,0.27963333333
2009,CSI 300,房地产,24.0,0.510425
2009,CSI 300,有色金属,24.0,0.33157
2009,CSI 300,钢铁,23.0,0.0968090909090909
2009,CSI 300,煤炭,15.0,1.2145333
2009,CSI 300,医药生物,15.0,1.18852
2009,CSI 300,银行,15.0,0.8996333
2009,CSI 300,基础化工,14.0,0.367686
2009,CSI 300,公用事业,13.0,0.349623
2009,CSI 300,机械设备,13.0,0.853877
2009,CSI 300,汽车,12.0,0.887325
2009,CSI 300,非银金融,11.0,0.85419
2009,CSI 300,食品饮料,11.0,1.088227
2009,CSI 300,电力设备,8.0,0.7764875
2009,CSI 300,商贸零售,8.0,0.487575
2009,CSI 300,石油石化,8.0,0.493775
2009,CSI 300,国防军工,6.0,1.051
2009,CSI 300,建筑装饰,6.0,0.7283333
2009,CSI 300,农林牧渔,6.0,0.2137333
2009,CSI 300,电子,5.0,0.1711
2009,CSI 300,家用电器,5.0,0.928
2009,CSI 300,通信,5.0,0.5161
2009,CSI 300,传媒,4.0,0.16125
2009,CSI 300,计算机,4.0,0.667425
2009,CSI 300,建筑材料,4.0,0.7848
2009,CSI 300,综合,4.0,0.380425
2009,CSI 300,纺织服饰,3.0,0.7096333
2009,CSI 300,环保,3.0,0.5778
2009,CSI 300,轻工制造,3.0,0.924667
2009,CSI 300,社会服务,1.0,0.0634
2009,CSI 300,交通运输,0.27963333333,0.1889
2009,CSI 300,房地产,0.510425,0.32516
2009,CSI 300,有色金属,0.33157,0.10451
2009,CSI 300,钢铁,0.0968090909090909,0.2502444444
2009,CSI 300,煤炭,1.2145333,0.062114
2009,CSI 300,医药生物,1.18852,0.44167
2009,CSI 300,基础化工,0.367686,0.11628
2009,CSI 300,公用事业,0.349623,0.184928
2009,CSI 300,机械设备,0.853877,0.245024
2009,CSI 300,汽车,0.887325,0.397045
2009,CSI 300,非银金融,0.85419,0.239057
2009,CSI 300,食品饮料,1.088227,0.1827
2009,CSI 300,电力设备,0.7764875,0.35645
2009,CSI 300,商贸零售,0.487575,0.3272
2009,CSI 300,石油石化,0.493775,0.1677625
2009,CSI 300,国防军工,1.051,0.228511111
2009,CSI 300,建筑装饰,0.7283333,0.279345
2009,CSI 300,农林牧渔,0.2137333,0.244841
2009,CSI 300,电子,0.1711,0.014995
2009,CSI 300,家用电器,0.928,0.5586
2009,CSI 300,通信,0.5161,0.4826667
2009,CSI 300,传媒,0.16125,0.09568889
2009,CSI 300,计算机,0.667425,0.28133
2009,CSI 300,建筑材料,0.7848,0.61629
2009,CSI 300,综合,0.380425,0.363175
2009,CSI 300,纺织服饰,0.7096333,0.247046
2009,CSI 300,环保,0.5778,0.78066667
2009,CSI 300,轻工制造,0.924667,0.18975
2009,CSI 300,社会服务,0.0634,0.325826667
2009,CSI 500,基础化工,41.0,0.11628
2009,CSI 500,医药生物,38.0,0.44167
2009,CSI 500,房地产,37.0,0.32516
2009,CSI 500,商贸零售,29.0,0.3272
